parameter,value,units,category,impact,source
"""days"": 10,",10,,time,linear,docs/normalized_economy.json:L1088
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L1089
"""base_xp"": 150,",150,xp,xp,linear,docs/normalized_economy.json:L1092
"""weight"": 0.7",0.7,,other,linear,docs/normalized_economy.json:L1096
"""weight"": 0.3",0.3,,other,linear,docs/normalized_economy.json:L1100
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1107
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1108
"""setup_time"": 2400,",2400,,time,linear,docs/normalized_economy.json:L1109
"""setup_cost"": 1200,",1200,,cost,linear,docs/normalized_economy.json:L1110
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1111
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1112
"""days"": 10,",10,,time,linear,docs/normalized_economy.json:L1115
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L1116
"""base_xp"": 140,",140,xp,xp,linear,docs/normalized_economy.json:L1119
"""weight"": 0.7",0.7,,other,linear,docs/normalized_economy.json:L1123
"""weight"": 0.3",0.3,,other,linear,docs/normalized_economy.json:L1127
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1134
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1135
"""setup_time"": 1260,",1260,,time,linear,docs/normalized_economy.json:L1136
"""setup_cost"": 1000,",1000,,cost,linear,docs/normalized_economy.json:L1137
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1138
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1139
"""days"": 7,",7,,time,linear,docs/normalized_economy.json:L1142
"""minutes_per_day"": 180",180,,time,linear,docs/normalized_economy.json:L1143
"""base_xp"": 140,",140,xp,xp,linear,docs/normalized_economy.json:L1146
"""weight"": 0.4",0.4,,other,linear,docs/normalized_economy.json:L1150
"""weight"": 0.3",0.3,,other,linear,docs/normalized_economy.json:L1154
"""weight"": 0.3",0.3,,other,linear,docs/normalized_economy.json:L1158
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1165
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1166
"""setup_time"": 1260,",1260,,time,linear,docs/normalized_economy.json:L1167
"""setup_cost"": 900,",900,,cost,linear,docs/normalized_economy.json:L1168
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1169
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1170
"""days"": 7,",7,,time,linear,docs/normalized_economy.json:L1173
"""minutes_per_day"": 180",180,,time,linear,docs/normalized_economy.json:L1174
"""base_xp"": 130,",130,xp,xp,linear,docs/normalized_economy.json:L1177
"""weight"": 0.6",0.6,,other,linear,docs/normalized_economy.json:L1181
"""weight"": 0.4",0.4,,other,linear,docs/normalized_economy.json:L1185
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1192
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1193
"""setup_time"": 1920,",1920,,time,linear,docs/normalized_economy.json:L1194
"""setup_cost"": 1100,",1100,,cost,linear,docs/normalized_economy.json:L1195
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1196
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1197
"""days"": 8,",8,,time,linear,docs/normalized_economy.json:L1200
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L1201
"""base_xp"": 140,",140,xp,xp,linear,docs/normalized_economy.json:L1204
"""weight"": 0.6",0.6,,other,linear,docs/normalized_economy.json:L1208
"""weight"": 0.4",0.4,,other,linear,docs/normalized_economy.json:L1212
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1219
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1220
"""setup_time"": 2160,",2160,,time,linear,docs/normalized_economy.json:L1221
"""setup_cost"": 1000,",1000,,cost,linear,docs/normalized_economy.json:L1222
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1223
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1224
"""days"": 9,",9,,time,linear,docs/normalized_economy.json:L1227
"""minutes_per_day"": 240",240,,time,linear,docs/normalized_economy.json:L1228
"""base_xp"": 150,",150,xp,xp,linear,docs/normalized_economy.json:L1231
"""weight"": 0.5",0.5,,other,linear,docs/normalized_economy.json:L1235
"""weight"": 0.3",0.3,,other,linear,docs/normalized_economy.json:L1239
"""weight"": 0.2",0.2,,other,linear,docs/normalized_economy.json:L1243
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1252
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1253
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1254
"""setup_cost"": 40,",40,,cost,linear,docs/normalized_economy.json:L1255
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1256
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1257
"""notes"": ""+60 minutes bonus time for the current day, max 3 uses/day.""",60,minutes,time,linear,docs/normalized_economy.json:L1261
"""notes"": ""+60 minutes bonus time for the current day, max 3 uses/day.""",3,,time,cap,docs/normalized_economy.json:L1261
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1265
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1266
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1267
"""setup_cost"": 220,",220,,cost,linear,docs/normalized_economy.json:L1268
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1269
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1270
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1280
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1281
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1282
"""setup_cost"": 540,",540,,cost,linear,docs/normalized_economy.json:L1283
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1284
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1285
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1294
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1295
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1296
"""setup_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1297
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1298
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1299
"""notes"": ""Hire cost $180, adds 180 bonus minutes/day, $24 daily wage.""",180,usd,time,linear,docs/normalized_economy.json:L1302
"""notes"": ""Hire cost $180, adds 180 bonus minutes/day, $24 daily wage.""",24,usd,time,linear,docs/normalized_economy.json:L1302
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1306
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1307
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1308
"""setup_cost"": 650,",650,,cost,linear,docs/normalized_economy.json:L1309
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1310
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1311
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1317
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1318
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1319
"""setup_cost"": 780,",780,,cost,linear,docs/normalized_economy.json:L1320
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1321
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1322
"""count"": 2,",2,,requirement,linear,docs/normalized_economy.json:L1329
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1340
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1341
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1342
"""setup_cost"": 1150,",1150,,cost,linear,docs/normalized_economy.json:L1343
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1344
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1345
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1354
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1355
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1356
"""setup_cost"": 1150,",1150,,cost,linear,docs/normalized_economy.json:L1357
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1358
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1359
"""count"": 3,",3,,requirement,linear,docs/normalized_economy.json:L1367
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1378
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1379
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1380
"""setup_cost"": 1450,",1450,,cost,linear,docs/normalized_economy.json:L1381
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1382
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1383
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1392
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1393
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1394
"""setup_cost"": 1500,",1500,,cost,linear,docs/normalized_economy.json:L1395
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1396
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1397
"""count"": 4,",4,,requirement,linear,docs/normalized_economy.json:L1405
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1419
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1420
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1421
"""setup_cost"": 140,",140,,cost,linear,docs/normalized_economy.json:L1422
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1423
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1424
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1430
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1431
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1432
"""setup_cost"": 360,",360,,cost,linear,docs/normalized_economy.json:L1433
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1434
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1435
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1444
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1445
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1446
"""setup_cost"": 720,",720,,cost,linear,docs/normalized_economy.json:L1447
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1448
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1449
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1458
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1459
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1460
"""setup_cost"": 280,",280,,cost,linear,docs/normalized_economy.json:L1461
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1462
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1463
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1469
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1470
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1471
"""setup_cost"": 640,",640,,cost,linear,docs/normalized_economy.json:L1472
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1473
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1474
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1483
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1484
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1485
"""setup_cost"": 1280,",1280,,cost,linear,docs/normalized_economy.json:L1486
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1487
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1488
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1497
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1498
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1499
"""setup_cost"": 180,",180,,cost,linear,docs/normalized_economy.json:L1500
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1501
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1502
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1508
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1509
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1510
"""setup_cost"": 240,",240,,cost,linear,docs/normalized_economy.json:L1511
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1512
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1513
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1522
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1523
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1524
"""setup_cost"": 380,",380,,cost,linear,docs/normalized_economy.json:L1525
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1526
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1527
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1536
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1537
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1538
"""setup_cost"": 200,",200,,cost,linear,docs/normalized_economy.json:L1539
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1540
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1541
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1547
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1548
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1549
"""setup_cost"": 480,",480,,cost,linear,docs/normalized_economy.json:L1550
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1551
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1552
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1561
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1562
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1563
"""setup_cost"": 420,",420,,cost,linear,docs/normalized_economy.json:L1564
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1565
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1566
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1572
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1573
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1574
"""setup_cost"": 180,",180,,cost,linear,docs/normalized_economy.json:L1575
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1576
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1577
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1583
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1584
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1585
"""setup_cost"": 260,",260,,cost,linear,docs/normalized_economy.json:L1586
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1587
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1588
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1594
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1595
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1596
"""setup_cost"": 260,",260,,cost,linear,docs/normalized_economy.json:L1597
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1598
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1599
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1605
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1606
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1607
"""setup_cost"": 320,",320,,cost,linear,docs/normalized_economy.json:L1608
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1609
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1610
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1616
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1617
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1618
"""setup_cost"": 360,",360,,cost,linear,docs/normalized_economy.json:L1619
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1620
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1621
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L1630
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1640
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1641
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1642
"""setup_cost"": 720,",720,,cost,linear,docs/normalized_economy.json:L1643
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1644
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1645
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L1654
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L1660
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1670
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1671
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1672
"""setup_cost"": 1080,",1080,,cost,linear,docs/normalized_economy.json:L1673
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1674
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1675
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L1684
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L1690
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L1696
"""base_income"": 0,",0,,income,linear,docs/normalized_economy.json:L1709
"""variance"": 0,",0,,income,linear,docs/normalized_economy.json:L1710
"""setup_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1711
"""setup_cost"": 260,",260,,cost,linear,docs/normalized_economy.json:L1712
"""maintenance_time"": 0,",0,,time,linear,docs/normalized_economy.json:L1713
"""maintenance_cost"": 0,",0,,cost,linear,docs/normalized_economy.json:L1714
"""count"": 1",1,,requirement,linear,docs/normalized_economy.json:L1722
"""formula"": ""income * (1 + 0.05)"",",1,,income,linear,docs/normalized_economy.json:L1732
"""formula"": ""income * (1 + 0.05)"",",0.05,,income,linear,docs/normalized_economy.json:L1732
"""notes"": ""Adds 5% to blog income.""",5,percent,income,linear,docs/normalized_economy.json:L1733
"""formula"": ""income * (1 + 0.05)"",",1,,income,linear,docs/normalized_economy.json:L1739
"""formula"": ""income * (1 + 0.05)"",",0.05,,income,linear,docs/normalized_economy.json:L1739
"""notes"": ""Adds 5% to vlog income.""",5,percent,income,linear,docs/normalized_economy.json:L1740
"""formula"": ""income * (1 + 0.05)"",",1,,income,linear,docs/normalized_economy.json:L1746
"""formula"": ""income * (1 + 0.05)"",",0.05,,income,linear,docs/normalized_economy.json:L1746
"""notes"": ""Adds 5% to e-book income.""",5,percent,income,linear,docs/normalized_economy.json:L1747
"""formula"": ""income * (1 + 0.05)"",",1,,income,linear,docs/normalized_economy.json:L1753
"""formula"": ""income * (1 + 0.05)"",",0.05,,income,linear,docs/normalized_economy.json:L1753
"""notes"": ""Adds 5% to stock photo income.""",5,percent,income,linear,docs/normalized_economy.json:L1754
"""formula"": ""income * (1 + 0.05)"",",1,,income,linear,docs/normalized_economy.json:L1760
"""formula"": ""income * (1 + 0.05)"",",0.05,,income,linear,docs/normalized_economy.json:L1760
"""notes"": ""Adds 5% to dropshipping income.""",5,percent,income,linear,docs/normalized_economy.json:L1761
"""formula"": ""income * (1 + 0.05)"",",1,,income,linear,docs/normalized_economy.json:L1767
"""formula"": ""income * (1 + 0.05)"",",0.05,,income,linear,docs/normalized_economy.json:L1767
"""notes"": ""Adds 5% to SaaS income.""",5,percent,income,linear,docs/normalized_economy.json:L1768
"""formula"": ""income * (1 + 0.25)"",",1,,income,linear,docs/normalized_economy.json:L1774
"""formula"": ""income * (1 + 0.25)"",",0.25,,income,linear,docs/normalized_economy.json:L1774
"""notes"": ""Freelance writing earns 25% more.""",25,percent,income,linear,docs/normalized_economy.json:L1775
"""formula"": ""income * (1 + 0.15)"",",1,,income,linear,docs/normalized_economy.json:L1781
"""formula"": ""income * (1 + 0.15)"",",0.15,,income,linear,docs/normalized_economy.json:L1781
"""notes"": ""Audiobook narration earns 15% more.""",15,percent,income,linear,docs/normalized_economy.json:L1782
"""formula"": ""income * (1 + 0.2)"",",1,,income,linear,docs/normalized_economy.json:L1788
"""formula"": ""income * (1 + 0.2)"",",0.2,,income,linear,docs/normalized_economy.json:L1788
"""notes"": ""Event photo gig earns 20% more.""",20,percent,income,linear,docs/normalized_economy.json:L1789
"""formula"": ""income + 5"",",5,,income,linear,docs/normalized_economy.json:L1795
"""notes"": ""Bundle promo push gains $5 flat.""",5,usd,cost,linear,docs/normalized_economy.json:L1796
"""formula"": ""income * (1 + 0.15)"",",1,,income,linear,docs/normalized_economy.json:L1802
"""formula"": ""income * (1 + 0.15)"",",0.15,,income,linear,docs/normalized_economy.json:L1802
"""notes"": ""Dropshipping income +15%.""",15,percent,income,linear,docs/normalized_economy.json:L1803
"""formula"": ""income + 6"",",6,,income,linear,docs/normalized_economy.json:L1809
"""notes"": ""SaaS bug squash gains $6 flat.""",6,usd,cost,linear,docs/normalized_economy.json:L1810
"""formula"": ""income * (1 + 0.15)"",",1,,income,linear,docs/normalized_economy.json:L1816
"""formula"": ""income * (1 + 0.15)"",",0.15,,income,linear,docs/normalized_economy.json:L1816
"""notes"": ""SaaS income +15%.""",15,percent,income,linear,docs/normalized_economy.json:L1817
"""formula"": ""income + 4"",",4,,income,linear,docs/normalized_economy.json:L1823
"""notes"": ""Audience Q&A blast gains $4.""",4,usd,cost,linear,docs/normalized_economy.json:L1824
"""formula"": ""income * (1 + 0.25)"",",1,,income,linear,docs/normalized_economy.json:L1830
"""formula"": ""income * (1 + 0.25)"",",0.25,,income,linear,docs/normalized_economy.json:L1830
"""notes"": ""Street promo sprint +25%.""",25,percent,income,linear,docs/normalized_economy.json:L1831
"""formula"": ""income + 1.5"",",1.5,,income,linear,docs/normalized_economy.json:L1837
"""notes"": ""Micro survey dash gains $1.5.""",1.5,usd,cost,linear,docs/normalized_economy.json:L1838
"""formula"": ""income * (1 + 0.3)"",",1,,income,linear,docs/normalized_economy.json:L1844
"""formula"": ""income * (1 + 0.3)"",",0.3,,income,linear,docs/normalized_economy.json:L1844
"""notes"": ""Pop-up workshop +30%.""",30,percent,income,linear,docs/normalized_economy.json:L1845
"""formula"": ""income * (1 + 0.15)"",",1,,income,linear,docs/normalized_economy.json:L1851
"""formula"": ""income * (1 + 0.15)"",",0.15,,income,linear,docs/normalized_economy.json:L1851
"""notes"": ""Bundle promo push +15%.""",15,percent,income,linear,docs/normalized_economy.json:L1852
"""formula"": ""income * (1 + 0.25)"",",1,,income,linear,docs/normalized_economy.json:L1858
"""formula"": ""income * (1 + 0.25)"",",0.25,,income,linear,docs/normalized_economy.json:L1858
"""notes"": ""Vlog edit rush +25%.""",25,percent,income,linear,docs/normalized_economy.json:L1859
"""formula"": ""income * (1 + 0.15)"",",1,,income,linear,docs/normalized_economy.json:L1865
"""formula"": ""income * (1 + 0.15)"",",0.15,,income,linear,docs/normalized_economy.json:L1865
"""notes"": ""Vlog income +15%.""",15,percent,income,linear,docs/normalized_economy.json:L1866
"""formula"": ""income * (1 + 0.2)"",",1,,income,linear,docs/normalized_economy.json:L1872
"""formula"": ""income * (1 + 0.2)"",",0.2,,income,linear,docs/normalized_economy.json:L1872
"""notes"": ""Dropship pack party +20%.""",20,percent,income,linear,docs/normalized_economy.json:L1873
"""formula"": ""income * (1 + 0.25)"",",1,,income,linear,docs/normalized_economy.json:L1879
"""formula"": ""income * (1 + 0.25)"",",0.25,,income,linear,docs/normalized_economy.json:L1879
"""notes"": ""Dropshipping income +25%.""",25,percent,income,linear,docs/normalized_economy.json:L1880
"""formula"": ""income + 5"",",5,,income,linear,docs/normalized_economy.json:L1886
"""notes"": ""SaaS bug squash gains $5.""",5,usd,cost,linear,docs/normalized_economy.json:L1887
"""formula"": ""income * (1 + 0.2)"",",1,,income,linear,docs/normalized_economy.json:L1893
"""formula"": ""income * (1 + 0.2)"",",0.2,,income,linear,docs/normalized_economy.json:L1893
"""notes"": ""SaaS income +20%.""",20,percent,income,linear,docs/normalized_economy.json:L1894
"""formula"": ""income * (1 + 0.25)"",",1,,income,linear,docs/normalized_economy.json:L1900
"""formula"": ""income * (1 + 0.25)"",",0.25,,income,linear,docs/normalized_economy.json:L1900
"""notes"": ""Audiobook narration +25%.""",25,percent,income,linear,docs/normalized_economy.json:L1901
"""formula"": ""income * (1 + 0.1)"",",1,,income,linear,docs/normalized_economy.json:L1907
"""formula"": ""income * (1 + 0.1)"",",0.1,,income,linear,docs/normalized_economy.json:L1907
"""notes"": ""E-book income +10%.""",10,percent,income,linear,docs/normalized_economy.json:L1908
"""formula"": ""income * (1 + 0.2)"",",1,,income,linear,docs/normalized_economy.json:L1914
"""formula"": ""income * (1 + 0.2)"",",0.2,,income,linear,docs/normalized_economy.json:L1914
"""notes"": ""Event photo gig +20%.""",20,percent,income,linear,docs/normalized_economy.json:L1915
"""formula"": ""income * (1 + 0.15)"",",1,,income,linear,docs/normalized_economy.json:L1921
"""formula"": ""income * (1 + 0.15)"",",0.15,,income,linear,docs/normalized_economy.json:L1921
"""notes"": ""Stock photo income +15%.""",15,percent,income,linear,docs/normalized_economy.json:L1922
"""formula"": ""income * (1 + 0.15)"",",1,,income,linear,docs/normalized_economy.json:L1928
"""formula"": ""income * (1 + 0.15)"",",0.15,,income,linear,docs/normalized_economy.json:L1928
"""notes"": ""Freelance writing +15%.""",15,percent,income,linear,docs/normalized_economy.json:L1929
"""formula"": ""income + 2"",",2,,income,linear,docs/normalized_economy.json:L1935
"""notes"": ""Street promo sprint gains $2.""",2,usd,cost,linear,docs/normalized_economy.json:L1936
"""formula"": ""income * (1 + 0.12)"",",1,,income,linear,docs/normalized_economy.json:L1942
"""formula"": ""income * (1 + 0.12)"",",0.12,,income,linear,docs/normalized_economy.json:L1942
"""notes"": ""Blog income +12%.""",12,percent,income,linear,docs/normalized_economy.json:L1943
"""formula"": ""minutes + 60"",",60,,time,linear,docs/normalized_economy.json:L1949
"""notes"": ""Adds 60 bonus minutes (max 3 per day).""",60,,time,cap,docs/normalized_economy.json:L1950
"""notes"": ""Adds 60 bonus minutes (max 3 per day).""",3,,time,cap,docs/normalized_economy.json:L1950
"""formula"": ""minutes * 0.9"",",0.9,,time,linear,docs/normalized_economy.json:L1956
"""formula"": ""minutes * 0.85"",",0.85,,time,linear,docs/normalized_economy.json:L1963
"""formula"": ""income * 1.15"",",1.15,,income,linear,docs/normalized_economy.json:L1970
"""formula"": ""progress * 2"",",2,,other,linear,docs/normalized_economy.json:L1977
"""formula"": ""progress * 2"",",2,,other,linear,docs/normalized_economy.json:L1984
